Date : 2023-03-30 11:10:16
Directory : c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src
Total : 74 files,  -1175 codes, -4 comments, 61 blanks, all -1118 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| x:\Dev\Koulu\Web\frontend\src\components\Button                                                 |          2 |        -23 |          0 |         -6 |        -29 |
| x:\Dev\Koulu\Web\frontend\src\components\Like                                                   |          1 |        -19 |          0 |         -2 |        -21 |
| x:\Dev\Koulu\Web\frontend\src\components\ListGroup                                              |          3 |        -38 |          0 |         -9 |        -47 |
| x:\Dev\Koulu\Web\frontend\src\components\TopBar                                                 |          4 |        -95 |         -1 |        -15 |       -111 |
| x:\Dev\Koulu\Web\frontend\src\components\TopBar (Files)                                         |          2 |        -56 |         -1 |         -9 |        -66 |
| x:\Dev\Koulu\Web\frontend\src\components\TopBar\Modal                                           |          2 |        -39 |          0 |         -6 |        -45 |
| x:\Dev\Koulu\Web\frontend\src\types                                                             |          1 |        -12 |          0 |         -2 |        -14 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                        | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\App.css                                | CSS                |          4 |          0 |          1 |          5 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\Login.tsx                              | TypeScript JSX     |         49 |          0 |          7 |         56 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\Map\Airport.ts                         | TypeScript         |         43 |          0 |          2 |         45 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\Map\Map.css                            | CSS                |         39 |          0 |          3 |         42 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\Map\Map.tsx                            | TypeScript JSX     |        196 |          8 |         22 |        226 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\Map\TrackingMarker.tsx                 | TypeScript JSX     |         73 |          2 |         12 |         87 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\Map\api.ts                             | TypeScript         |        107 |          1 |         11 |        119 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\assets\message.tsx                     | TypeScript JSX     |          5 |          0 |          2 |          7 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\assets\react.svg                       | XML                |          1 |          0 |          0 |          1 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Alert\Alert.css             | CSS                |         20 |          0 |          3 |         23 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Alert\Alert.tsx             | TypeScript JSX     |         33 |          0 |          9 |         42 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Button\Button.module.css    | CSS                |         68 |          0 |         10 |         78 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Button\Button.tsx           | TypeScript JSX     |         15 |          0 |          4 |         19 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Input.tsx                   | TypeScript JSX     |         21 |          0 |          4 |         25 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Like\Like.tsx               | TypeScript JSX     |         19 |          0 |          2 |         21 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\ListGroup.tsx               | TypeScript JSX     |         24 |          0 |          5 |         29 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\ListGroup\ListGroup.css     | CSS                |          0 |          0 |          1 |          1 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\ListGroup\ListGroup.tsx     | TypeScript JSX     |         36 |          0 |          7 |         43 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\ListGroup\index.ts          | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\FuelView\FuelView.css | CSS                |         18 |          0 |          4 |         22 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\FuelView\FuelView.tsx | TypeScript JSX     |         63 |          0 |          7 |         70 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\Modal.css             | CSS                |         79 |          0 |         13 |         92 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\Modal.tsx             | TypeScript JSX     |        210 |          0 |          7 |        217 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\SearchBox.tsx         | TypeScript JSX     |         95 |          0 |          8 |        103 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\ShopView\ShopView.css | CSS                |          6 |          0 |          1 |          7 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\ShopView\ShopView.tsx | TypeScript JSX     |         65 |          1 |          7 |         73 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\NavBar\NavBar.css           | CSS                |         38 |          0 |          4 |         42 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\NavBar\NavBar.tsx           | TypeScript JSX     |         64 |          1 |          6 |         71 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\index.css                              | CSS                |          0 |          0 |          1 |          1 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\main.tsx                               | TypeScript JSX     |         27 |          0 |          6 |         33 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\types\Airplane.ts                      | TypeScript         |         62 |          2 |          5 |         69 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\types\Carrier.ts                       | TypeScript         |         19 |          2 |          3 |         24 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\types\leaflet-marker-easing.d.ts       | TypeScript         |         12 |          0 |          2 |         14 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\types\types.ts                         | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\vite-env.d.ts                          | TypeScript         |          0 |          1 |          1 |          2 |
| x:\Dev\Koulu\Web\frontend\Pipfile                                                               | toml               |         -9 |          0 |         -4 |        -13 |
| x:\Dev\Koulu\Web\frontend\Pipfile.lock                                                          | JSON               |       -125 |          0 |         -1 |       -126 |
| x:\Dev\Koulu\Web\frontend\index.html                                                            | HTML               |        -19 |          0 |         -1 |        -20 |
| x:\Dev\Koulu\Web\frontend\package-lock.json                                                     | JSON               |     -1,902 |          0 |         -1 |     -1,903 |
| x:\Dev\Koulu\Web\frontend\package.json                                                          | JSON               |        -31 |          0 |         -1 |        -32 |
| x:\Dev\Koulu\Web\frontend\public\vite.svg                                                       | XML                |         -1 |          0 |          0 |         -1 |
| x:\Dev\Koulu\Web\frontend\src\App.css                                                           | CSS                |         -4 |          0 |         -1 |         -5 |
| x:\Dev\Koulu\Web\frontend\src\Login.tsx                                                         | TypeScript JSX     |        -50 |          0 |         -7 |        -57 |
| x:\Dev\Koulu\Web\frontend\src\Map\Logc.ts                                                       | TypeScript         |          0 |          0 |         -1 |         -1 |
| x:\Dev\Koulu\Web\frontend\src\Map\Map.css                                                       | CSS                |         -6 |          0 |         -1 |         -7 |
| x:\Dev\Koulu\Web\frontend\src\Map\Map.tsx                                                       | TypeScript JSX     |       -102 |        -17 |        -16 |       -135 |
| x:\Dev\Koulu\Web\frontend\src\Map\TrackingMarker.tsx                                            | TypeScript JSX     |        -65 |         -2 |        -16 |        -83 |
| x:\Dev\Koulu\Web\frontend\src\Map\api.ts                                                        | TypeScript         |        -30 |          0 |         -3 |        -33 |
| x:\Dev\Koulu\Web\frontend\src\Map\leaflet-moving-marker-shim.js                                 | JavaScript         |         -6 |          0 |         -3 |         -9 |
| x:\Dev\Koulu\Web\frontend\src\assets\message.tsx                                                | TypeScript JSX     |         -5 |          0 |         -2 |         -7 |
| x:\Dev\Koulu\Web\frontend\src\assets\react.svg                                                  | XML                |         -1 |          0 |          0 |         -1 |
| x:\Dev\Koulu\Web\frontend\src\components\Alert.tsx                                              | TypeScript JSX     |         -7 |          0 |         -3 |        -10 |
| x:\Dev\Koulu\Web\frontend\src\components\Button.tsx                                             | TypeScript JSX     |        -14 |          0 |         -3 |        -17 |
| x:\Dev\Koulu\Web\frontend\src\components\Button\Button.module.css                               | CSS                |         -9 |          0 |         -2 |        -11 |
| x:\Dev\Koulu\Web\frontend\src\components\Button\Button.tsx                                      | TypeScript JSX     |        -14 |          0 |         -4 |        -18 |
| x:\Dev\Koulu\Web\frontend\src\components\Input.tsx                                              | TypeScript JSX     |        -21 |          0 |         -4 |        -25 |
| x:\Dev\Koulu\Web\frontend\src\components\Like\Like.tsx                                          | TypeScript JSX     |        -19 |          0 |         -2 |        -21 |
| x:\Dev\Koulu\Web\frontend\src\components\ListGroup.tsx                                          | TypeScript JSX     |        -24 |          0 |         -5 |        -29 |
| x:\Dev\Koulu\Web\frontend\src\components\ListGroup\ListGroup.css                                | CSS                |          0 |          0 |         -1 |         -1 |
| x:\Dev\Koulu\Web\frontend\src\components\ListGroup\ListGroup.tsx                                | TypeScript JSX     |        -36 |          0 |         -7 |        -43 |
| x:\Dev\Koulu\Web\frontend\src\components\ListGroup\index.ts                                     | TypeScript         |         -2 |          0 |         -1 |         -3 |
| x:\Dev\Koulu\Web\frontend\src\components\TopBar\Modal\Modal.css                                 | CSS                |        -20 |          0 |         -2 |        -22 |
| x:\Dev\Koulu\Web\frontend\src\components\TopBar\Modal\Modal.tsx                                 | TypeScript JSX     |        -19 |          0 |         -4 |        -23 |
| x:\Dev\Koulu\Web\frontend\src\components\TopBar\NavBar.css                                      | CSS                |        -18 |          0 |         -4 |        -22 |
| x:\Dev\Koulu\Web\frontend\src\components\TopBar\NavBar.tsx                                      | TypeScript JSX     |        -38 |         -1 |         -5 |        -44 |
| x:\Dev\Koulu\Web\frontend\src\index.css                                                         | CSS                |          0 |          0 |         -1 |         -1 |
| x:\Dev\Koulu\Web\frontend\src\main.tsx                                                          | TypeScript JSX     |        -27 |          0 |         -6 |        -33 |
| x:\Dev\Koulu\Web\frontend\src\map.ts                                                            | TypeScript         |          0 |          0 |         -1 |         -1 |
| x:\Dev\Koulu\Web\frontend\src\types\leaflet-marker-easing.d.ts                                  | TypeScript         |        -12 |          0 |         -2 |        -14 |
| x:\Dev\Koulu\Web\frontend\src\vite-env.d.ts                                                     | TypeScript         |          0 |         -1 |         -1 |         -2 |
| x:\Dev\Koulu\Web\frontend\test.html                                                             | HTML               |        -19 |          0 |         -1 |        -20 |
| x:\Dev\Koulu\Web\frontend\tsconfig.json                                                         | JSON with Comments |        -21 |          0 |         -1 |        -22 |
| x:\Dev\Koulu\Web\frontend\tsconfig.node.json                                                    | JSON               |         -9 |          0 |         -1 |        -10 |
| x:\Dev\Koulu\Web\frontend\vite.config.ts                                                        | TypeScript         |         -5 |         -1 |         -2 |         -8 |
| Total                                                                                           |                    |     -1,175 |         -4 |         61 |     -1,118 |
+-------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
